AFFGEOID,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US04007000301,4007000301,"Census Tract 3.01, Gila County, Arizona",6332,464
1400000US04007000302,4007000302,"Census Tract 3.02, Gila County, Arizona",2721,306
1400000US04007000400,4007000400,"Census Tract 4, Gila County, Arizona",3920,395
1400000US04007000500,4007000500,"Census Tract 5, Gila County, Arizona",5614,530
1400000US04007000600,4007000600,"Census Tract 6, Gila County, Arizona",1408,247
1400000US04007000700,4007000700,"Census Tract 7, Gila County, Arizona",1661,293
1400000US04007000800,4007000800,"Census Tract 8, Gila County, Arizona",1790,292
1400000US04007000900,4007000900,"Census Tract 9, Gila County, Arizona",3177,387
1400000US04007001000,4007001000,"Census Tract 10, Gila County, Arizona",5260,624
1400000US04007001100,4007001100,"Census Tract 11, Gila County, Arizona",3947,432
1400000US04007001200,4007001200,"Census Tract 12, Gila County, Arizona",4825,485
1400000US04007001300,4007001300,"Census Tract 13, Gila County, Arizona",1275,240
1400000US04007940200,4007940200,"Census Tract 9402, Gila County, Arizona",2003,277
1400000US04007940400,4007940400,"Census Tract 9404, Gila County, Arizona",5587,392
1400000US04009940500,4009940500,"Census Tract 9405, Graham County, Arizona",4832,255
1400000US04009961100,4009961100,"Census Tract 9611, Graham County, Arizona",4315,530
1400000US04009961201,4009961201,"Census Tract 9612.01, Graham County, Arizona",3285,427
1400000US04009961202,4009961202,"Census Tract 9612.02, Graham County, Arizona",3507,293
1400000US04009961300,4009961300,"Census Tract 9613, Graham County, Arizona",3526,376
1400000US04009961400,4009961400,"Census Tract 9614, Graham County, Arizona",5097,387
1400000US04009961500,4009961500,"Census Tract 9615, Graham County, Arizona",4533,521
1400000US04009961600,4009961600,"Census Tract 9616, Graham County, Arizona",2694,584
1400000US04009961700,4009961700,"Census Tract 9617, Graham County, Arizona",5522,537
1400000US04011960100,4011960100,"Census Tract 9601, Greenlee County, Arizona",2844,247
1400000US04011960200,4011960200,"Census Tract 9602, Greenlee County, Arizona",3182,265
1400000US04011960300,4011960300,"Census Tract 9603, Greenlee County, Arizona",2774,253
1400000US04012020100,4012020100,"Census Tract 201, La Paz County, Arizona",2551,398
1400000US04012020201,4012020201,"Census Tract 202.01, La Paz County, Arizona",1921,277
1400000US04012020202,4012020202,"Census Tract 202.02, La Paz County, Arizona",524,141
1400000US04012020501,4012020501,"Census Tract 205.01, La Paz County, Arizona",1921,434
1400000US04012020502,4012020502,"Census Tract 205.02, La Paz County, Arizona",4290,248
1400000US04012020602,4012020602,"Census Tract 206.02, La Paz County, Arizona",1336,305
1400000US04012940200,4012940200,"Census Tract 9402, La Paz County, Arizona",3048,25
1400000US04012940300,4012940300,"Census Tract 9403, La Paz County, Arizona",4757,468
1400000US04012980000,4012980000,"Census Tract 9800, La Paz County, Arizona",0,13
1400000US04013010101,4013010101,"Census Tract 101.01, Maricopa County, Arizona",5182,717
1400000US04013010102,4013010102,"Census Tract 101.02, Maricopa County, Arizona",4001,709
1400000US04013030401,4013030401,"Census Tract 304.01, Maricopa County, Arizona",3926,483
1400000US04013030402,4013030402,"Census Tract 304.02, Maricopa County, Arizona",3784,294
1400000US04013040502,4013040502,"Census Tract 405.02, Maricopa County, Arizona",5095,384
1400000US04013040506,4013040506,"Census Tract 405.06, Maricopa County, Arizona",5294,388
1400000US04013040507,4013040507,"Census Tract 405.07, Maricopa County, Arizona",6159,516
1400000US04013040512,4013040512,"Census Tract 405.12, Maricopa County, Arizona",1563,154
1400000US04013040513,4013040513,"Census Tract 405.13, Maricopa County, Arizona",2806,265
1400000US04013040514,4013040514,"Census Tract 405.14, Maricopa County, Arizona",2915,205
1400000US04013040515,4013040515,"Census Tract 405.15, Maricopa County, Arizona",4309,655
1400000US04013040516,4013040516,"Census Tract 405.16, Maricopa County, Arizona",3272,391
1400000US04013040517,4013040517,"Census Tract 405.17, Maricopa County, Arizona",7143,901
1400000US04013040518,4013040518,"Census Tract 405.18, Maricopa County, Arizona",7575,940
1400000US04013040519,4013040519,"Census Tract 405.19, Maricopa County, Arizona",4109,489
1400000US04013040520,4013040520,"Census Tract 405.20, Maricopa County, Arizona",4311,346
1400000US04013040521,4013040521,"Census Tract 405.21, Maricopa County, Arizona",5920,692
1400000US04013040522,4013040522,"Census Tract 405.22, Maricopa County, Arizona",4255,355
1400000US04013040523,4013040523,"Census Tract 405.23, Maricopa County, Arizona",2929,333
1400000US04013040524,4013040524,"Census Tract 405.24, Maricopa County, Arizona",1550,160
1400000US04013040525,4013040525,"Census Tract 405.25, Maricopa County, Arizona",3251,278
1400000US04013040526,4013040526,"Census Tract 405.26, Maricopa County, Arizona",2273,226
1400000US04013040527,4013040527,"Census Tract 405.27, Maricopa County, Arizona",3955,490
1400000US04013040528,4013040528,"Census Tract 405.28, Maricopa County, Arizona",6468,437
1400000US04013040529,4013040529,"Census Tract 405.29, Maricopa County, Arizona",3054,213
