AFFGEOID,GEOID,GEO.display-label,pop,margin
1400000US04005945200,4.0E+09,"Census Tract 9452, Coconino County, Arizona",4833,651
1400000US04007000100,4.0E+09,"Census Tract 1, Gila County, Arizona",1604,420
1400000US04007000200,4.0E+09,"Census Tract 2, Gila County, Arizona",2118,422
1400000US04007000301,4.0E+09,"Census Tract 3.01, Gila County, Arizona",6332,464
1400000US04007000302,4.0E+09,"Census Tract 3.02, Gila County, Arizona",2721,306
1400000US04007000400,4.0E+09,"Census Tract 4, Gila County, Arizona",3920,395
1400000US04007000500,4.0E+09,"Census Tract 5, Gila County, Arizona",5614,530
1400000US04007000600,4.0E+09,"Census Tract 6, Gila County, Arizona",1408,247
1400000US04007000700,4.0E+09,"Census Tract 7, Gila County, Arizona",1661,293
1400000US04007000800,4.0E+09,"Census Tract 8, Gila County, Arizona",1790,292
1400000US04007000900,4.0E+09,"Census Tract 9, Gila County, Arizona",3177,387
1400000US04007001000,4.0E+09,"Census Tract 10, Gila County, Arizona",5260,624
1400000US04007001100,4.0E+09,"Census Tract 11, Gila County, Arizona",3947,432
1400000US04007001200,4.0E+09,"Census Tract 12, Gila County, Arizona",4825,485
1400000US04007001300,4.0E+09,"Census Tract 13, Gila County, Arizona",1275,240
1400000US04007940200,4.0E+09,"Census Tract 9402, Gila County, Arizona",2003,277
1400000US04007940400,4.0E+09,"Census Tract 9404, Gila County, Arizona",5587,392
1400000US04009940500,4.0E+09,"Census Tract 9405, Graham County, Arizona",4832,255
1400000US04009961100,4.0E+09,"Census Tract 9611, Graham County, Arizona",4315,530
1400000US04009961201,4.0E+09,"Census Tract 9612.01, Graham County, Arizona",3285,427
1400000US04009961202,4.0E+09,"Census Tract 9612.02, Graham County, Arizona",3507,293
1400000US04009961300,4.0E+09,"Census Tract 9613, Graham County, Arizona",3526,376
1400000US04009961400,4.0E+09,"Census Tract 9614, Graham County, Arizona",5097,387
1400000US04009961500,4.0E+09,"Census Tract 9615, Graham County, Arizona",4533,521
1400000US04009961600,4.0E+09,"Census Tract 9616, Graham County, Arizona",2694,584
1400000US04009961700,4.0E+09,"Census Tract 9617, Graham County, Arizona",5522,537
1400000US04011960100,4.0E+09,"Census Tract 9601, Greenlee County, Arizona",2844,247
1400000US04011960200,4.0E+09,"Census Tract 9602, Greenlee County, Arizona",3182,265
1400000US04011960300,4.0E+09,"Census Tract 9603, Greenlee County, Arizona",2774,253
1400000US04012020100,4.0E+09,"Census Tract 201, La Paz County, Arizona",2551,398
1400000US04012020201,4.0E+09,"Census Tract 202.01, La Paz County, Arizona",1921,277
1400000US04012020202,4.0E+09,"Census Tract 202.02, La Paz County, Arizona",524,141
1400000US04012020501,4.0E+09,"Census Tract 205.01, La Paz County, Arizona",1921,434
1400000US04012020502,4.0E+09,"Census Tract 205.02, La Paz County, Arizona",4290,248
1400000US04012020602,4.0E+09,"Census Tract 206.02, La Paz County, Arizona",1336,305
1400000US04012940200,4.0E+09,"Census Tract 9402, La Paz County, Arizona",3048,25
1400000US04012940300,4.0E+09,"Census Tract 9403, La Paz County, Arizona",4757,468
1400000US04012980000,4.0E+09,"Census Tract 9800, La Paz County, Arizona",0,13
1400000US04013010101,4.0E+09,"Census Tract 101.01, Maricopa County, Arizona",5182,717
1400000US04013010102,4.0E+09,"Census Tract 101.02, Maricopa County, Arizona",4001,709
1400000US04013030401,4.0E+09,"Census Tract 304.01, Maricopa County, Arizona",3926,483
1400000US04013030402,4.0E+09,"Census Tract 304.02, Maricopa County, Arizona",3784,294
1400000US04013040502,4.0E+09,"Census Tract 405.02, Maricopa County, Arizona",5095,384
1400000US04013040506,4.0E+09,"Census Tract 405.06, Maricopa County, Arizona",5294,388
1400000US04013040507,4.0E+09,"Census Tract 405.07, Maricopa County, Arizona",6159,516
1400000US04013040512,4.0E+09,"Census Tract 405.12, Maricopa County, Arizona",1563,154
1400000US04013040513,4.0E+09,"Census Tract 405.13, Maricopa County, Arizona",2806,265
1400000US04013040514,4.0E+09,"Census Tract 405.14, Maricopa County, Arizona",2915,205
1400000US04013040515,4.0E+09,"Census Tract 405.15, Maricopa County, Arizona",4309,655
1400000US04013040516,4.0E+09,"Census Tract 405.16, Maricopa County, Arizona",3272,391
1400000US04013040517,4.0E+09,"Census Tract 405.17, Maricopa County, Arizona",7143,901
1400000US04013040518,4.0E+09,"Census Tract 405.18, Maricopa County, Arizona",7575,940
1400000US04013040519,4.0E+09,"Census Tract 405.19, Maricopa County, Arizona",4109,489
1400000US04013040520,4.0E+09,"Census Tract 405.20, Maricopa County, Arizona",4311,346
1400000US04013040521,4.0E+09,"Census Tract 405.21, Maricopa County, Arizona",5920,692
1400000US04013040522,4.0E+09,"Census Tract 405.22, Maricopa County, Arizona",4255,355
1400000US04013040523,4.0E+09,"Census Tract 405.23, Maricopa County, Arizona",2929,333
1400000US04013040524,4.0E+09,"Census Tract 405.24, Maricopa County, Arizona",1550,160
1400000US04013040525,4.0E+09,"Census Tract 405.25, Maricopa County, Arizona",3251,278
1400000US04013040526,4.0E+09,"Census Tract 405.26, Maricopa County, Arizona",2273,226
1400000US04013040527,4.0E+09,"Census Tract 405.27, Maricopa County, Arizona",3955,490
1400000US04013040528,4.0E+09,"Census Tract 405.28, Maricopa County, Arizona",6468,437
1400000US04013040529,4.0E+09,"Census Tract 405.29, Maricopa County, Arizona",3054,213
1400000US04013040530,4.0E+09,"Census Tract 405.30, Maricopa County, Arizona",4193,508
1400000US04013040531,4.0E+09,"Census Tract 405.31, Maricopa County, Arizona",3494,303
1400000US04013050603,4.0E+09,"Census Tract 506.03, Maricopa County, Arizona",3867,515
1400000US04013050604,4.0E+09,"Census Tract 506.04, Maricopa County, Arizona",3232,616
1400000US04013050605,4.0E+09,"Census Tract 506.05, Maricopa County, Arizona",6385,462
1400000US04013050606,4.0E+09,"Census Tract 506.06, Maricopa County, Arizona",7497,787
1400000US04013050607,4.0E+09,"Census Tract 506.07, Maricopa County, Arizona",7396,773
1400000US04013050608,4.0E+09,"Census Tract 506.08, Maricopa County, Arizona",7359,818
1400000US04013050609,4.0E+09,"Census Tract 506.09, Maricopa County, Arizona",5080,542
1400000US04013050610,4.0E+09,"Census Tract 506.10, Maricopa County, Arizona",8524,1022
1400000US04013050611,4.0E+09,"Census Tract 506.11, Maricopa County, Arizona",4719,708
1400000US04013050701,4.0E+09,"Census Tract 507.01, Maricopa County, Arizona",5349,464
1400000US04013050702,4.0E+09,"Census Tract 507.02, Maricopa County, Arizona",5353,466
1400000US04013060801,4.0E+09,"Census Tract 608.01, Maricopa County, Arizona",6309,815
1400000US04013060802,4.0E+09,"Census Tract 608.02, Maricopa County, Arizona",2503,271
1400000US04013060901,4.0E+09,"Census Tract 609.01, Maricopa County, Arizona",4576,436
1400000US04013060902,4.0E+09,"Census Tract 609.02, Maricopa County, Arizona",3148,638
1400000US04013060903,4.0E+09,"Census Tract 609.03, Maricopa County, Arizona",4986,633
1400000US04013060904,4.0E+09,"Census Tract 609.04, Maricopa County, Arizona",3522,386
1400000US04013061009,4.0E+09,"Census Tract 610.09, Maricopa County, Arizona",8887,734
1400000US04013061010,4.0E+09,"Census Tract 610.10, Maricopa County, Arizona",4611,226
1400000US04013061011,4.0E+09,"Census Tract 610.11, Maricopa County, Arizona",5520,611
1400000US04013061012,4.0E+09,"Census Tract 610.12, Maricopa County, Arizona",8074,794
1400000US04013061013,4.0E+09,"Census Tract 610.13, Maricopa County, Arizona",5642,686
1400000US04013061014,4.0E+09,"Census Tract 610.14, Maricopa County, Arizona",5785,615
1400000US04013061015,4.0E+09,"Census Tract 610.15, Maricopa County, Arizona",6479,504
1400000US04013061016,4.0E+09,"Census Tract 610.16, Maricopa County, Arizona",4741,594
1400000US04013061017,4.0E+09,"Census Tract 610.17, Maricopa County, Arizona",3351,639
1400000US04013061018,4.0E+09,"Census Tract 610.18, Maricopa County, Arizona",4592,430
1400000US04013061019,4.0E+09,"Census Tract 610.19, Maricopa County, Arizona",3300,375
1400000US04013061020,4.0E+09,"Census Tract 610.20, Maricopa County, Arizona",3699,543
